,e_enzyme,e_enzyme_composition_string,m_reaction
1473,CPLX0-7534,b0929(3),3GMPtex
1474,CPLX0-1667,b2342(),ACACT8r
1475,FADA-CPLX,b3845(2),ACACT8r
1476,CPLX0-7533,b2215(3),MNLtex
1477,CPLX0-7530,b0241(3),MNLtex
1478,G6700-MONOMER,b1377(1),MNLtex
1479,CPLX0-7534,b0929(3),MNLtex
1480,ISOCITHASE-CPLX,b1136(2),ICDHyr
1481,DCUA-MONOMER,b4138(1),SUCFUMtpp
1482,DCUB-MONOMER,b4123(1),SUCFUMtpp
1483,DCUC-MONOMER,b0621(1),SUCFUMtpp
1484,ABC-15-CPLX,b3460(1) AND b3456(1) AND b3457(1) AND b3454(1) AND b3455(1),THRabcpp
1485,EG11600-MONOMER,b2521(1),MCPST
1486,CPLX0-303,b3925(2),FBP
1487,F16B-CPLX,b4232(4),FBP
1488,CPLX0-7776,b2930(2),FBP
1489,ABC-14-CPLX,b2309(1) AND b2308(1) AND b2307(1) AND b2306(2),HISabcpp
1490,CPLX0-7630,b0494(4),LPLIPAL1E180pp
1491,YBDA-MONOMER,b0591(1),FEENTERtpp
1492,CORA-MONOMER,b3816(1),COBALT2tpp
1493,EG11167-MONOMER,b3040(1),COBALT2tpp
1494,CDPDIGLYPYPHOSPHA-MONOMER,b3918(1),CDAPPA181
1495,CPLX0-7466,b3564(2),XYLK
1496,RIBULOKIN-CPLX,b0063(2),XYLK
1497,CPLX0-7642,b4111(2),CRNDt2rpp
1498,EG12455-MONOMER,b2835(1),2AGPE141tipp
1499,COBALADENOSYLTRANS-MONOMER,b1270(1),CBIAT
1500,TRANS-CPLX-201,b0462() AND b0463() AND b3035(),CMtpp
1501,CPLX0-3932,b0463() AND b2470() AND b3035(),CMtpp
1502,CPLX0-7533,b2215(3),AMPtex
1503,G6700-MONOMER,b1377(1),AMPtex
1504,CPLX0-7530,b0241(3),AMPtex
1505,CPLX0-7534,b0929(3),AMPtex
1506,CPLX0-341,b3639(12),PPCDC
1507,CPLX0-7533,b2215(3),ACGAtex
1508,CPLX0-7530,b0241(3),ACGAtex
1509,G6700-MONOMER,b1377(1),ACGAtex
1510,CPLX0-7534,b0929(3),ACGAtex
1511,ACYLCOADEHYDROG-MONOMER,b0221(1),ACOAD8f
1512,CPLX0-3201,b2328(2),MDDEP4pp
1513,EG10202-MONOMER,b3182(1),MDDEP4pp
1514,EG12015-MONOMER,b2134(1),MDDEP4pp
1515,CPLX0-7533,b2215(3),ACACtex
1516,CPLX0-7530,b0241(3),ACACtex
1517,G6700-MONOMER,b1377(1),ACACtex
1518,CPLX0-7534,b0929(3),ACACtex
1519,CPLX0-7630,b0494(4),LPLIPAL1G181pp
1520,FADB-CPLX,b3846(2),CTECOAI7
1521,YICE-MONOMER,b3654(1),GUAt2pp
1522,ARAE-MONOMER,b2841(1),ARBt2rpp
1523,PRIBFAICARPISOM-MONOMER,b2024(1),PRMICI
1524,ABC-19-CPLX,b0764(2) AND b0765(2) AND b0763(1),TUNGSabcpp
1525,MONOMER0-341,b3821(1),PLIPA2G181pp
1526,CPLX0-3641,b1444(4),ABUTD
1527,ISOCIT-LYASE,b4015(4),ICL
1528,GUANYL-KIN-CPLX,b3648(2),DGK1
1529,ABC-15-CPLX,b3460(1) AND b3456(1) AND b3457(1) AND b3454(1) AND b3455(1),ALAabcpp
1530,CPLX0-7654,b3927(4),UREAtpp
1531,CPLX0-7533,b2215(3),FALDtex
1532,CPLX0-7530,b0241(3),FALDtex
1533,G6700-MONOMER,b1377(1),FALDtex
1534,CPLX0-7534,b0929(3),FALDtex
1535,ABC-34-CPLX,b3452(1) AND b3453(1) AND b3451(1) AND b3450(2),G3PGabcpp
1536,6PFK-2-CPX,b1723(2),PFK
1537,6PFK-1-CPX,b3916(4),PFK
1538,KETOBUTFORMLY-INACT-MONOMER,b3114(1),PFL
1539,EG11910-MONOMER_dimer,b3951(2),PFL
1540,PYRUVFORMLY-INACTIVE-CPLX,b0903(2),PFL
1541,PYRUVFORMLY-MONOMER_EG11784-MONOMER,b2579(1) AND b0903(1),PFL
1542,CPLX0-7533,b2215(3),PEAMNtex
1543,CPLX0-7530,b0241(3),PEAMNtex
1544,G6700-MONOMER,b1377(1),PEAMNtex
1545,CPLX0-7534,b0929(3),PEAMNtex
1546,FUCP-MONOMER,b2801(1),FUCtpp
1547,GLTP-MONOMER,b4077(1),GLUt2rpp
1548,EG11957-MONOMER,b4085(1),ALLULPE
1549,CPLX0-7533,b2215(3),SUCRtex
1550,CPLX0-7530,b0241(3),SUCRtex
1551,G6700-MONOMER,b1377(1),SUCRtex
1552,CPLX0-7534,b0929(3),SUCRtex
1553,G7800-MONOMER,b4481(1),AADDGT
1554,GPT-CPLX,b0238(4),GUAPRT
1555,CPLX0-7685,b0125(4),GUAPRT
1556,CPDB-MONOMER,b4213(1),3NTD4pp
1557,CPLX0-7533,b2215(3),UDPGALtex
1558,CPLX0-7530,b0241(3),UDPGALtex
1559,G6700-MONOMER,b1377(1),UDPGALtex
1560,CPLX0-7534,b0929(3),UDPGALtex
1561,G6502-MONOMER,b0968(1),APH140
1562,G6502-MONOMER,b0968(1),APH141
1563,THIOESTERII-CPLX,b0452(4),FACOAE141
1564,THIOESTERII-CPLX,b0452(4),FACOAE140
1565,CPLX0-1669,b1701(2),FACOAL100t2pp
1566,ACYLCOASYN-CPLX,b1805(2),FACOAL100t2pp
1567,CPLX0-7615,b3126(6),GLCRAL
1568,DMBPPRIBOSYLTRANS-CPLX,b1991(2),NNDMBRT
1569,NUPG-MONOMER,b2964(1),DINSt2pp
1570,URPHOS-CPLX,b3831(6),PYNP2r
1571,QueF_dim,b2794(2),CDGR
1572,DMK-MONOMER,b3930(1),DHNAOT4
1573,ACETYLORNDEACET-CPLX,b3957(2),ACODA
1574,GLYCDEH-CPLX,b3945(8),LALDO2x
1575,AAS-MONOMER,b2836(1),2AGPGAT120
1576,CPLX0-235,b3553(2),DKGLCNR2x
1577,CPLX0-235,b3553(2),DKGLCNR2y
1578,GLYCOGENSYN-MONOMER,b3429(1),GLCS1
1579,CPLX0-7533,b2215(3),PPAtex
1580,CPLX0-7534,b0929(3),PPAtex
1581,CPLX0-7530,b0241(3),PPAtex
1582,G6700-MONOMER,b1377(1),PPAtex
1583,GLYCPDIESTER-PERI-CPLX,b2239(2),GPDDA5pp
1584,CPLX0-7533,b2215(3),PROtex
1585,CPLX0-7530,b0241(3),PROtex
1586,CPLX0-7534,b0929(3),PROtex
1587,G6700-MONOMER,b1377(1),PROtex
1588,CPLX-166,b2415(1) AND b2416(2) AND b3599(2),MNLptspp
1589,CPLX0-7629,b0019(2),NAt3_2pp
1590,RELA-MONOMER,b2784(1),GTPDPK
1591,GALACTURIDYLYLTRANS-CPLX,b0758(2),UGLT
1592,CPLX0-7533,b2215(3),NMNtex
1593,CPLX0-7530,b0241(3),NMNtex
1594,G6700-MONOMER,b1377(1),NMNtex
1595,CPLX0-7534,b0929(3),NMNtex
1596,EG11082-MONOMER,b0030(1),ADNUC
1597,CPLX0-1962,b1539(4),LSERDHr
1598,EG11110-MONOMER,b0736(1),DHNCOAT
1599,CPLX0-7761,b0118(2),MICITDr
1600,AMINEOXID-CPLX,b1386(2),PEAMNOpp
1601,CPLX0-7882,b2262(6),DHNCOAS
1602,ACETOLACTSYNI-CPLX,b3671(2) AND b3670(2),ACHBS
1603,ACETOLACTSYNIII-CPLX,b0078(2) AND b0077(2),ACHBS
1604,MGTA-MONOMER,b4242(1),MG2uabcpp
1605,UHPT-MONOMER,b3666(1),G6Pt6_2pp
1606,PYRNUTRANSHYDROGEN-CPLX,b1602(2) AND b1603(2),THD2pp
1607,PPK-CPLX,b2501(4),PPK2r
1608,CPLX-163,b2415(1) AND b0731(2) AND b2416(2),MANGLYCptspp
1609,PGPPHOSPHAB-MONOMER,b1278(1),PAPA141pp
1610,G6646-MONOMER,b1302(1),ABTA
1611,GABATRANSAM-CPLX,b2662(2),ABTA
1612,CADB-MONOMER,b4132(1),CADVtpp
1613,EG11373-MONOMER,b2558(1),MLTGY2pp
1614,G7410-MONOMER,b2701(1),MLTGY2pp
1615,G7457-MONOMER,b2813(1),MLTGY2pp
1616,EG10950-MONOMER,b4392(1),MLTGY2pp
1617,G7533-MONOMER,b2963(1),MLTGY2pp
1618,G6622-MONOMER,b1193(1),MLTGY2pp
1619,PHENPRODIOLDEHYDROG-MONOMER,b2541(1),DHPPD
1620,DCTA-MONOMER,b3528(1),FUMt2_2pp
1621,OHMETHYLBILANESYN-MONOMER,b3805(1),HMBS
1622,FOLE-CPLX,b2153(10),GTPCI
1623,DCUA-MONOMER,b4138(1),SUCCt2_3pp
1624,DCUB-MONOMER,b4123(1),SUCCt2_3pp
1625,CPLX0-7533,b2215(3),PPTtex
1626,CPLX0-7530,b0241(3),PPTtex
1627,G6700-MONOMER,b1377(1),PPTtex
1628,CPLX0-7534,b0929(3),PPTtex
1629,CPLX0-7811,b3850(4),PPPGO3
1630,PGPPHOSPHAB-MONOMER,b1278(1),PAPA161pp
1631,CPLX0-7704,b0914(2),PG161abcpp
1632,CPLX0-7533,b2215(3),ASPtex
1633,CPLX0-7530,b0241(3),ASPtex
1634,G6700-MONOMER,b1377(1),ASPtex
1635,CPLX0-7534,b0929(3),ASPtex
1636,APHA-CPLX,b4055(4),TYRPpp
1637,CPLX0-7533,b2215(3),HXAtex
1638,CPLX0-7530,b0241(3),HXAtex
1639,G6700-MONOMER,b1377(1),HXAtex
1640,CPLX0-7534,b0929(3),HXAtex
1641,TMAOREDUCTI-CPLX,b0996() AND b0997(2),TMAOR1pp
1642,CPLX-63,b1872(1) AND b1873(1),TMAOR1pp
1643,CPLX0-7428,b2751(4) AND b2752(4),SADT2
1644,FADB-CPLX,b3846(2),HACD3
1645,CPLX0-1666,b2341(),HACD3
1646,CPLX0-7533,b2215(3),TYRPtex
1647,CPLX0-7530,b0241(3),TYRPtex
1648,G6700-MONOMER,b1377(1),TYRPtex
1649,CPLX0-7534,b0929(3),TYRPtex
1650,EG11665-MONOMER,b3057(1),UDCPDP
1651,G6439-MONOMER,b0841(1),UDCPDP
1652,PGPPHOSPHAB-MONOMER,b1278(1),UDCPDP
1653,G7841-MONOMER,b4161(1),NTP10
1654,CPLX0-3948,b4394(2),NTP10
1655,CPLX0-3948,b4394(2),NTP11
1656,CPLX0-3948,b4394(2),NTP12
1657,DIHYDROXYACIDDEHYDRAT-CPLX,b3771(2),DHAD1
1658,DIHYDROXYACIDDEHYDRAT-CPLX,b3771(2),DHAD2
1659,ADENPRIBOSYLTRAN-CPLX,b0469(2),ADPT
1660,CPLX0-7533,b2215(3),SKMtex
1661,CPLX0-7530,b0241(3),SKMtex
1662,G6700-MONOMER,b1377(1),SKMtex
1663,CPLX0-7534,b0929(3),SKMtex
1664,CPLX0-7533,b2215(3),MNtex
1665,CPLX0-7530,b0241(3),MNtex
1666,G6700-MONOMER,b1377(1),MNtex
1667,CPLX0-7534,b0929(3),MNtex
1668,GALACTITOLPDEHYD-MONOMER,b2091(1),GLTPD
1669,SUCCORNTRANSAM-CPLX,b1748(2),SOTA
1670,CYCA-MONOMER,b4208(1),GLYt2pp
1671,YEAV-MONOMER,b1801(1),GLYt2pp
1672,CPLX0-7533,b2215(3),TREtex
1673,CPLX0-7530,b0241(3),TREtex
1674,G6700-MONOMER,b1377(1),TREtex
1675,CPLX0-7534,b0929(3),TREtex
1676,CPLX0-7533,b2215(3),CO2tex
1677,CPLX0-7530,b0241(3),CO2tex
1678,G6700-MONOMER,b1377(1),CO2tex
1679,CPLX0-7534,b0929(3),CO2tex
1680,CPLX0-7533,b2215(3),TCYNTtex
1681,CPLX0-7530,b0241(3),TCYNTtex
1682,G6700-MONOMER,b1377(1),TCYNTtex
1683,CPLX0-7534,b0929(3),TCYNTtex
1684,GLYOHMETRANS-CPLX,b2551(2),THFAT
1685,AMYLOMALT-MONOMER,b3416(1),AMALT4
1686,CPLX0-7533,b2215(3),PROGLYtex
1687,CPLX0-7530,b0241(3),PROGLYtex
1688,G6700-MONOMER,b1377(1),PROGLYtex
1689,CPLX0-7534,b0929(3),PROGLYtex
1690,ARGDECARBOXDEG-CPLX,b4117(10),ARGDC
1691,HYDROPEROXIDII-CPLX,b1732(6),CAT
1692,HYDROPEROXIDI-CPLX,b3942(4),CAT
1693,CPLX-722,b0980(2),PHYTSpp
1694,EG11339-MONOMER,b3631(1),GLCTR1
1695,EG11352-MONOMER,b3627(1),GLCTR2
1696,EG11353-MONOMER,b3626(1),GLCTR3
1697,GLUCOKIN-MONOMER,b2388(1),HEX1
1698,DIACYLGLYKIN-CPLX,b4042(3),DAGK141
1699,DIACYLGLYKIN-CPLX,b4042(3),DAGK140
1700,EG11288-MONOMER,b0394(1),HEX7
1701,CHORISMUTPREPHENDEHYDRAT-CPLX,b2599(2),PPNDH
1702,6PGLUCONOLACT-MONOMER,b0767(1),PGL
1703,PGK,b2926(1),PGK
1704,CPLX0-7877,b4025(2),PGI
1705,EG11423-MONOMER,b3623(1),HEPT4
1706,EG12455-MONOMER,b2835(1),2AGPA141tipp
1707,EG11341-MONOMER,b3632(1),HEPT3
1708,EG11189-MONOMER,b3621(1),HEPT1
1709,CPLX0-7684,b2682() AND b2683(),VALt2rpp
1710,BRNQ-MONOMER,b0401(1),VALt2rpp
1711,YRBG-MONOMER,b3196(1),CAt6pp
1712,CPLX0-225,b0935(4),FDMO3
1713,CPLX0-225,b0935(4),FDMO2
1714,LCTP-MONOMER,b3603(1),D_DASH_LACt2pp
1715,B2975-MONOMER,b2975(1),D_DASH_LACt2pp
1716,CPLX0-7704,b0914(2),LIPACabcpp
1717,CPLX0-225,b0935(4),FDMO6
1718,CPLX0-7533,b2215(3),TMAtex
1719,CPLX0-7530,b0241(3),TMAtex
1720,G6700-MONOMER,b1377(1),TMAtex
1721,CPLX0-7534,b0929(3),TMAtex
1722,EG11009-MONOMER,b3035(1),FEENTERtex
1723,ALPHA-AMYL-PERI-MONOMER,b3571(1),AAMYLpp
1724,PSERTRANSAM-CPLX,b0907(2),OHPBAT
1725,G6439-MONOMER,b0841(1),UDCPDPpp
1726,EG11665-MONOMER,b3057(1),UDCPDPpp
1727,PGPPHOSPHAB-MONOMER,b1278(1),UDCPDPpp
1728,G6425-MONOMER,b0822(1),MN6PP
1729,ABC-5-CPLX,b1709(2) AND b0158(1) AND b1711(2),CBL1abcpp
1730,PGPPHOSPHAB-MONOMER,b1278(1),PAPA180
1731,PGPPHOSPHAB-MONOMER,b1278(1),PAPA181
1732,DCUA-MONOMER,b4138(1),MALt2_3pp
1733,DCUB-MONOMER,b4123(1),MALt2_3pp
1734,CPLX0-7533,b2215(3),GLCUR1Ptex
1735,CPLX0-7530,b0241(3),GLCUR1Ptex
1736,G6700-MONOMER,b1377(1),GLCUR1Ptex
1737,CPLX0-7534,b0929(3),GLCUR1Ptex
1738,CPLX0-3482,b3588(4),ALDD3y
1739,EG11829-MONOMER,b3857(1),BMOGDS1
1740,EG11829-MONOMER_EG11828-MONOMER,b3856() AND b3857(),BMOGDS1
1741,CPLX0-1541,b0159(2),5DOAN
1742,EG11829-MONOMER,b3857(1),BMOGDS2
1743,EG11829-MONOMER_EG11828-MONOMER,b3856() AND b3857(),BMOGDS2
1744,MONOMER0-341,b3821(1),PLIPA1A161pp
1745,AIRS-CPLX,b2499(2),PRAIS
1746,GLYCDEH-CPLX,b3945(8),ALR4x
1747,EG11511-MONOMER,b0009(1),MPTAT
1748,CPLX0-7533,b2215(3),UREAtex
1749,CPLX0-7530,b0241(3),UREAtex
1750,G6700-MONOMER,b1377(1),UREAtex
1751,CPLX0-7534,b0929(3),UREAtex
1752,CPLX0-1669,b1701(2),FACOAL141t2pp
1753,ACYLCOASYN-CPLX,b1805(2),FACOAL141t2pp
1754,APHA-CPLX,b4055(4),NTD7pp
1755,USHA-MONOMER,b0480(1),NTD7pp
1756,PGPPHOSPHAB-MONOMER,b1278(1),PGPP181pp
1757,PGPPHOSPHAA-MONOMER,b0418(1),PGPP181pp
1758,BRANCHED-CHAINAMINOTRANSFER-CPLX,b3770(6),PHETA1
1759,ASPAMINOTRANS-DIMER,b0928(2),PHETA1
1760,TYRB-DIMER,b4054(2),PHETA1
1761,CPLX0-7533,b2215(3),DAPtex
1762,CPLX0-7530,b0241(3),DAPtex
1763,G6700-MONOMER,b1377(1),DAPtex
1764,CPLX0-7534,b0929(3),DAPtex
1765,CPLX0-7533,b2215(3),GLNtex
1766,CPLX0-7530,b0241(3),GLNtex
1767,G6700-MONOMER,b1377(1),GLNtex
1768,CPLX0-7534,b0929(3),GLNtex
1769,TRANS-CPLX-201,b0462() AND b0463() AND b3035(),TTRCYCtpp
1770,CPLX0-3932,b0463() AND b2470() AND b3035(),TTRCYCtpp
1771,CPLX0-7533,b2215(3),CSNtex
1772,CPLX0-7530,b0241(3),CSNtex
1773,G6700-MONOMER,b1377(1),CSNtex
1774,CPLX0-7534,b0929(3),CSNtex
1775,CPLX0-7533,b2215(3),PTRCtex
1776,CPLX0-7530,b0241(3),PTRCtex
1777,G6700-MONOMER,b1377(1),PTRCtex
1778,CPLX0-7534,b0929(3),PTRCtex
1779,NRFMULTI-CPLX,b4071(1) AND b4070(1) AND b4073(1) AND b4072(1),NTRIR3pp
1780,NAG6PDEACET-CPLX,b0677(4),AGDC
1781,CPLX-165,b2415(1) AND b1818(2) AND b2416(2) AND b1817(1) AND b1819(1),GLCptspp
1782,CPLX-164,b2415(1) AND b2417(1) AND b2416(2) AND b1621(2),GLCptspp
1783,CPLX-157,b2415(1) AND b2417(1) AND b1101(2) AND b2416(2),GLCptspp
1784,MONOMER0-341,b3821(1),PLIPA2E160pp
1785,PGPPHOSPHAB-MONOMER,b1278(1),PGPP141pp
1786,PGPPHOSPHAA-MONOMER,b0418(1),PGPP141pp
1787,PHOSPHASERSYN-CPLX,b2585(),PSSA160
1788,METHYLENETHFREDUCT-CPLX,b3941(4),MTHFR2
1789,GLYCPDIESTER-CYTO-MONOMER,b3449(1),GPDDA2
1790,LACTALDREDUCT-CPLX,b2799(2),LCARS
1791,PPX-CPLX,b2502(2),PPA2
1792,EG11817-MONOMER,b2744(1),PPA2
1793,CPLX0-7533,b2215(3),XYLtex
1794,CPLX0-7530,b0241(3),XYLtex
1795,G6700-MONOMER,b1377(1),XYLtex
1796,CPLX0-7534,b0929(3),XYLtex
1797,SPERMACTRAN-CPLX,b1584(4),SPMDAT1
1798,SPERMACTRAN-CPLX,b1584(4),SPMDAT2
1799,EG10739-MONOMER,b3825(1),LPLIPAL2A160
1800,EG10739-MONOMER,b3825(1),LPLIPAL2A161
1801,CPLX0-7533,b2215(3),PYDAMtex
1802,G6700-MONOMER,b1377(1),PYDAMtex
1803,CPLX0-7530,b0241(3),PYDAMtex
1804,CPLX0-7534,b0929(3),PYDAMtex
1805,ACYLCOADEHYDROG-MONOMER,b0221(1),ACOAD7f
1806,BRNQ-MONOMER,b0401(1),ILEt2rpp
1807,PRAI-IGPS,b1262(1),IGPS
1808,CPLX0-7533,b2215(3),O2tex
1809,CPLX0-7530,b0241(3),O2tex
1810,G6700-MONOMER,b1377(1),O2tex
1811,CPLX0-7534,b0929(3),O2tex
1812,ENTA-CPLX,b0596(8),DHBD
1813,CPLX0-1924,b3966() AND b1252() AND b3005() AND b3006(),CBL1tonex
1814,CPLX0-7643,b3774(4),KARA1
1815,CPLX0-7643,b3774(4),KARA2
1816,BRANCHED-CHAINAMINOTRANSFER-CPLX,b3770(6),ILETA
1817,ENTE-CPLX,b0594(2),DHBS
1818,CDPDIGLYPYPHOSPHA-MONOMER,b3918(1),CDAPPA141
1819,CDPDIGLYPYPHOSPHA-MONOMER,b3918(1),CDAPPA140
1820,CDPDIGLYSYN-MONOMER,b0175(1),DASYN140
1821,CDPDIGLYSYN-MONOMER,b0175(1),DASYN141
1822,FADB-CPLX,b3846(2),HACD1
1823,CPLX0-1666,b2341(),HACD1
1824,CPLX0-7533,b2215(3),DAMPtex
1825,CPLX0-7530,b0241(3),DAMPtex
1826,G6700-MONOMER,b1377(1),DAMPtex
1827,CPLX0-7534,b0929(3),DAMPtex
1828,FADB-CPLX,b3846(2),HACD2
1829,CPLX0-1666,b2341(),HACD2
1830,FADB-CPLX,b3846(2),HACD5
1831,CPLX0-1666,b2341(),HACD5
1832,FADB-CPLX,b3846(2),HACD4
1833,CPLX0-1666,b2341(),HACD4
1834,FADB-CPLX,b3846(2),HACD7
1835,CPLX0-1666,b2341(),HACD7
1836,FADB-CPLX,b3846(2),HACD6
1837,CPLX0-1666,b2341(),HACD6
1838,FADB-CPLX,b3846(2),HACD8
1839,CPLX0-1666,b2341(),HACD8
1840,CPLX0-7704,b0914(2),PA181abcpp
1841,AMYLOMALT-MONOMER,b3416(1),AMALT3
1842,AMYLOMALT-MONOMER,b3416(1),AMALT2
1843,AMYLOMALT-MONOMER,b3416(1),AMALT1
1844,B2789-MONOMER,b2789(1),GLCRt2rpp
1845,YHAU-MONOMER,b3127(1),GLCRt2rpp
1846,EG12455-MONOMER,b2835(1),2AGPA181tipp
1847,YDGEF-CPLX,b1599() AND b1600(),SPMDt3pp
1848,CPLX0-2061,b3575(2),DOGULNR
1849,ADENYLOSUCCINATE-SYN-DIMER,b4177(2),ADSS
1850,CPLX0-7533,b2215(3),GLYtex
1851,CPLX0-7530,b0241(3),GLYtex
1852,G6700-MONOMER,b1377(1),GLYtex
1853,CPLX0-7534,b0929(3),GLYtex
1854,CPLX0-7655,b4036(3),MALTtexi
1855,O-SUCCHOMOSERLYASE-CPLX,b3939(4),SHSL1
1856,APHA-CPLX,b4055(4),G2PPpp
1857,YHFM-MONOMER,b3370(1),PSCLYSt2pp
1858,EG12455-MONOMER,b2835(1),2AGPG140tipp
1859,ADENYLYLSULFKIN-CPLX,b2750(2),ADSK
1860,EG11639-MONOMER,b1533(1),ACSERtpp
1861,EG12445-MONOMER,b2578(1),ACSERtpp
1862,CPLX0-7533,b2215(3),G3PGtex
1863,CPLX0-7530,b0241(3),G3PGtex
1864,G6700-MONOMER,b1377(1),G3PGtex
1865,CPLX0-7534,b0929(3),G3PGtex
1866,EG10739-MONOMER,b3825(1),LPLIPAL2ATE161
1867,EG10739-MONOMER,b3825(1),LPLIPAL2ATE160
1868,GSP-CPLX,b2988(2),GSPMDA
1869,EG11425-MONOMER,b3625(1),HEPK2
1870,EG11340-MONOMER,b3630(1),HEPK1
1871,CPLX0-7887,b2379(2),ALATA_L
1872,CPLX0-7888,b2290(2),ALATA_L
1873,CPLX0-7630,b0494(4),LPLIPAL1G141pp
1874,ABC-16-CPLX,b4034(1) AND b4035(2) AND b4033(1) AND b4032(1),MALTabcpp
1875,GSP-CPLX,b2988(2),GSPMDS
1876,EG10739-MONOMER,b3825(1),LPLIPAL2A180
1877,EG10739-MONOMER,b3825(1),LPLIPAL2A181
1878,G6719-MONOMER,b1398(1),PACCOAL
1879,PURE-CPLX,b0523(8),AIRC3
1880,DIOHBUTANONEPSYN-CPLX,b3041(2),DB4PS
1881,G7496-MONOMER,b2877(1),MOCDS
1882,APHA-CPLX,b4055(4),NTD6pp
1883,USHA-MONOMER,b0480(1),NTD6pp
1884,CPLX0-1762,b1388() AND b1389() AND b1392() AND b1390(),PACCOAE
1885,CPLX0-7533,b2215(3),SLNTtex
1886,CPLX0-7534,b0929(3),SLNTtex
1887,CPLX0-7530,b0241(3),SLNTtex
1888,G6700-MONOMER,b1377(1),SLNTtex
1889,CPLX0-7717_G6561-MONOMER,b1069() AND b3396(2),MPTG
1890,G7322-MONOMER_G6561-MONOMER,b2519() AND b1069(),MPTG
1891,CPLX0-3951_G6561-MONOMER,b1069() AND b0149(2),MPTG
1892,GLY3KIN-MONOMER,b0514(1),GLYCK
1893,THYMIDYLATESYN-CPLX,b2827(2),TMDS
1894,EG10739-MONOMER,b3825(1),LPLIPAL2G120
1895,GCVMULTI-CPLX,b2904(1) AND b0116(2) AND b2905(1) AND b2903(2),GLYCL
1896,HISTDEHYD-CPLX,b2020(2),HISTD
1897,MONOMER0-1842,b0131(1),ASP1DC
1898,CPLX0-7533,b2215(3),3PEPTtex
1899,CPLX0-7530,b0241(3),3PEPTtex
1900,G6700-MONOMER,b1377(1),3PEPTtex
1901,CPLX0-7534,b0929(3),3PEPTtex
1902,ABC-8-CPLX,b3540(1) AND b3541(1) AND b3542(1) AND b3543(1) AND b3544(1),CGLYabcpp
1903,EG11674-MONOMER,b3059(1),APG3PAT120
1904,XYLISOM-CPLX,b3565(4),XYLI1
1905,XYLISOM-CPLX,b3565(4),XYLI2
1906,CPLX0-7687,b1525(2),SSALx
1907,CAIC-MONOMER,b0037(1),CRNDCAL2
1908,CPLX0-7630,b0494(4),LPLIPAL1E181pp
1909,CPLX0-7704,b0914(2),COLIPAabcpp
1910,PGPPHOSPHAB-MONOMER,b1278(1),PGPP140pp
1911,PGPPHOSPHAA-MONOMER,b0418(1),PGPP140pp
1912,CPLX0-7622,b4471(2),SERD_L
1913,LSERINEDEAM1-MONOMER,b1814(1),SERD_L
1914,TRYPTOPHAN-CPLX,b3708(4),SERD_L
1915,LSERINEDEAM2-MONOMER,b2797(1),SERD_L
1916,CPLX0-7525,b2264(2),SEPHCHCS
1917,CPLX0-7533,b2215(3),VALtex
1918,CPLX0-7530,b0241(3),VALtex
1919,G6700-MONOMER,b1377(1),VALtex
1920,CPLX0-7534,b0929(3),VALtex
1921,COBU-CPLX,b1993(2),ACBIPGT
1922,GLYOHMETRANS-CPLX,b2551(2),ALATA_L2
1923,LTAA-CPLX,b0870(4),ALATA_L2
1924,CPLX0-7811,b3850(4),PPPGO
1925,ABC-11-CPLX,b0152(1) AND b0151(2) AND b0153(2),FEOXAMabcpp
1926,HEMEOSYN-MONOMER,b0428(1),HEMEOS
1927,CPLX0-7533,b2215(3),AKGtex
1928,CPLX0-7530,b0241(3),AKGtex
1929,G6700-MONOMER,b1377(1),AKGtex
1930,CPLX0-7534,b0929(3),AKGtex
1931,APHA-CPLX,b4055(4),PTHRpp
1932,YNFJ-MONOMER,b1592(1),CLt3_2pp
1933,YADQ-MONOMER,b0155(1),CLt3_2pp
1934,EG12210-MONOMER,b3620(1),HEPT2
1935,APHA-CPLX,b4055(4),NTD12pp
1936,USHA-MONOMER,b0480(1),NTD12pp
1937,SAICARSYN-CPLX,b2476(3),PRASCSi
1938,DCUA-MONOMER,b4138(1),SUCASPtpp
1939,DCUB-MONOMER,b4123(1),SUCASPtpp
1940,DCUC-MONOMER,b0621(1),SUCASPtpp
1941,G7914-MONOMER,b4301(1),RPE
1942,RIBULP3EPIM-MONOMER,b3386(1),RPE
1943,BADH-CPLX,b0312(4),BETALDHx
1944,BADH-CPLX,b0312(4),BETALDHy
1945,RIB5PISOMA-CPLX,b2914(2),RPI
1946,RIB5PISOMB-CPLX,b4090(2),RPI
1947,MONOMER0-341,b3821(1),PLIPA2G180pp
1948,EG11639-MONOMER,b1533(1),CYStpp
1949,EG12445-MONOMER,b2578(1),CYStpp
1950,DCUB-MONOMER,b4123(1),TARTt2_3pp
1951,GLYC3PDEHYDROGBIOSYN-CPLX,b3608(2),G3PD2
1952,ANGLYC3PDEHYDROG-CPLX,b2241(1) AND b2242(1) AND b2243(1),G3PD7
1953,ANGLYC3PDEHYDROG-CPLX,b2241(1) AND b2242(1) AND b2243(1),G3PD6
1954,AERGLYC3PDEHYDROG-CPLX,b3426(2),G3PD5
1955,ANGLYC3PDEHYDROG-CPLX,b2241(1) AND b2242(1) AND b2243(1),G3PD5
1956,CPLX0-7906,b0040(3),CRNt8pp
1957,CPLX0-7533,b2215(3),ASCBtex
1958,CPLX0-7530,b0241(3),ASCBtex
1959,G6700-MONOMER,b1377(1),ASCBtex
